United States COVID-19 Hospitalizations by County
Date generated: Mon May 22 2023 19:17:51 GMT-0400 (Eastern Daylight Time)
County,State,New hospital admissions of confirmed COVID-19 past week (total),New COVID-19 hospital admissions per 100000 population past week (total),COVID-19 hospital admissions level,% Change in new hospital admissions of confirmed COVID-19 from the prior week,% Staffed inpatient beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed inpatient beds occupied by patients with confirmed COVID-19 from prior week,% Staffed ICU beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed ICU beds occupied by patients with confirmed COVID-19 from prior week
Jefferson County,AL,34,2.7,Low (<10.0),-15,1.1,-0.1,1,-0.1
Lamar County,AL,2,2,Low (<10.0),N/A,0.5,0.4,0,-0.6
Lauderdale County,AL,5,2.5,Low (<10.0),-61.5,1,-0.5,1,-0.5
Lawrence County,AL,2,1.3,Low (<10.0),-33.3,1.5,-0.1,0,0
Lee County,AL,1,0.3,Low (<10.0),N/A,0.1,0,0,0
Limestone County,AL,18,3.2,Low (<10.0),28.6,0.9,0.2,0.1,-0.5
Lowndes County,AL,3,0.8,Low (<10.0),-62.5,0.6,-0.1,1.5,-0.7
Macon County,AL,1,0.3,Low (<10.0),N/A,0.1,0,0,0
Madison County,AL,18,3.2,Low (<10.0),28.6,0.9,0.2,0.1,-0.5
Marengo County,AL,1,1.3,Low (<10.0),0,0,-0.4,0,0
Marion County,AL,2,4.3,Low (<10.0),-33.3,0.5,-0.8,0,0
Marshall County,AL,9,3,Low (<10.0),80,0.9,-0.1,1.5,0.6
Mobile County,AL,21,3,Low (<10.0),-22.2,0.9,-0.4,0.8,-0.4
Monroe County,AL,21,3,Low (<10.0),-22.2,0.9,-0.4,0.8,-0.4
Montgomery County,AL,3,0.8,Low (<10.0),-62.5,0.6,-0.1,1.5,-0.7
Morgan County,AL,2,1.3,Low (<10.0),-33.3,1.5,-0.1,0,0
Perry County,AL,1,1.3,Low (<10.0),0,0,-0.4,0,0
Pickens County,AL,3,1.2,Low (<10.0),N/A,0.9,-0.1,3.5,0.4
Pike County,AL,3,0.8,Low (<10.0),-62.5,0.6,-0.1,1.5,-0.7
Randolph County,AL,3,1,Low (<10.0),-25,1.1,0,0.8,-0.5
Russell County,AL,6,1.8,Low (<10.0),50,1.2,-0.3,1.5,-0.6
Shelby County,AL,34,2.7,Low (<10.0),-15,1.1,-0.1,1,-0.1
St. Clair County,AL,34,2.7,Low (<10.0),-15,1.1,-0.1,1,-0.1
Sumter County,AL,2,1.1,Low (<10.0),0,0.4,-0.1,0.3,-1.1
Talladega County,AL,0,0,Low (<10.0),N/A,1.3,-0.8,0,0
Tallapoosa County,AL,1,0.3,Low (<10.0),N/A,0.1,0,0,0
Tuscaloosa County,AL,3,1.2,Low (<10.0),N/A,0.9,-0.1,3.5,0.4
Walker County,AL,34,2.7,Low (<10.0),-15,1.1,-0.1,1,-0.1
Washington County,AL,21,3,Low (<10.0),-22.2,0.9,-0.4,0.8,-0.4
Wilcox County,AL,1,1.3,Low (<10.0),0,0,-0.4,0,0
Winston County,AL,5,2.5,Low (<10.0),-61.5,1,-0.5,1,-0.5
Arkansas County,AR,3,12.4,Medium (10.0 to 19.9),N/A,0.5,-0.1,N/A,N/A
Ashley County,AR,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Baxter County,AR,5,8.5,Low (<10.0),400,0.7,-0.2,0,-2.4
Benton County,AR,16,2.8,Low (<10.0),100,0.8,0.2,1.7,0.9
Boone County,AR,4,4.9,Low (<10.0),N/A,0.6,0.5,0,0
Bradley County,AR,9,7,Low (<10.0),80,1.2,0.5,0,-0.1
Calhoun County,AR,0,0,Low (<10.0),N/A,0,0,0,0
Carroll County,AR,4,4.9,Low (<10.0),N/A,0.6,0.5,0,0
Chicot County,AR,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Clark County,AR,4,2.3,Low (<10.0),100,0.4,0,0,0
Clay County,AR,10,3.9,Low (<10.0),900,0.7,-0.2,2.4,0.3
Cleburne County,AR,1,0.8,Low (<10.0),-75,0.9,-0.4,0,-0.2
Cleveland County,AR,9,7,Low (<10.0),80,1.2,0.5,0,-0.1
Columbia County,AR,0,0,Low (<10.0),N/A,0,0,0,0
Conway County,AR,36,4.6,Low (<10.0),12.5,1,0,1.7,0.3
Craighead County,AR,10,3.9,Low (<10.0),900,0.7,-0.2,2.4,0.3
Crawford County,AR,24,7,Low (<10.0),140,2,0,1.9,-0.7
Crittenden County,AR,2,2,Low (<10.0),100,0.6,-0.3,0,0
