United States COVID-19 Hospitalizations by County
Date generated: Mon May 22 2023 19:17:51 GMT-0400 (Eastern Daylight Time)
County,State,New hospital admissions of confirmed COVID-19 past week (total),New COVID-19 hospital admissions per 100000 population past week (total),COVID-19 hospital admissions level,% Change in new hospital admissions of confirmed COVID-19 from the prior week,% Staffed inpatient beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed inpatient beds occupied by patients with confirmed COVID-19 from prior week,% Staffed ICU beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed ICU beds occupied by patients with confirmed COVID-19 from prior week
Vermilion County,IL,1,0.9,Low (<10.0),N/A,0,-0.2,0,-0.1
Wabash County,IL,10,3,Low (<10.0),-28.6,0.8,0.1,1.4,0.1
Warren County,IL,2,3,Low (<10.0),-33.3,0.1,-1,0,0
Washington County,IL,0,0,Low (<10.0),-100,0.1,-0.1,0,0
Wayne County,IL,1,1.9,Low (<10.0),N/A,0.2,-0.6,0,-0.7
White County,IL,0,0,Low (<10.0),-100,0.3,0.1,N/A,N/A
Whiteside County,IL,4,3.5,Low (<10.0),300,0.7,0,3.7,3.7
Will County,IL,24,3.2,Low (<10.0),-4,2.2,0.1,0.9,-0.1
Williamson County,IL,9,4.9,Low (<10.0),12.5,0.9,0.1,4.1,1
Winnebago County,IL,34,8.1,Low (<10.0),17.2,1.7,0.1,2.4,-1
Woodford County,IL,6,2.7,Low (<10.0),0,1.5,0.3,0,-2.2
Adams County,IN,1,0.8,Low (<10.0),-66.7,0.6,-0.8,2.5,-2
Allen County,IN,15,2.6,Low (<10.0),-28.6,0.8,-0.2,0.9,0.4
Bartholomew County,IN,1,0.5,Low (<10.0),-87.5,0.4,-0.6,0,0
Benton County,IN,1,0.4,Low (<10.0),0,0.5,-0.9,0.2,-1.5
Blackford County,IN,4,2.7,Low (<10.0),-71.4,1.9,0.4,3.6,-0.3
Boone County,IN,1,1.5,Low (<10.0),0,0.1,-0.6,0,0
Brown County,IN,5,2.3,Low (<10.0),25,1.7,0.9,0.3,0.2
Carroll County,IN,1,0.4,Low (<10.0),0,0.5,-0.9,0.2,-1.5
Cass County,IN,7,5.2,Low (<10.0),250,0.8,0.5,1.8,0.1
Clark County,IN,1,0.7,Low (<10.0),-66.7,1.1,-0.9,2.4,-3.1
Clay County,IN,3,1.5,Low (<10.0),-72.7,0.9,0,1.2,0.6
Clinton County,IN,1,0.4,Low (<10.0),0,0.5,-0.9,0.2,-1.5
Crawford County,IN,3,1.9,Low (<10.0),-57.1,0.5,-0.7,0,0
Daviess County,IN,1,0.8,Low (<10.0),N/A,0.2,-0.1,0,-0.1
De Kalb County,IN,15,2.6,Low (<10.0),-28.6,0.8,-0.2,0.9,0.4
Dearborn County,IN,8,5.5,Low (<10.0),-42.9,1.6,-0.7,0,0
Decatur County,IN,1,0.5,Low (<10.0),-87.5,0.4,-0.6,0,0
Delaware County,IN,4,2.7,Low (<10.0),-71.4,1.9,0.4,3.6,-0.3
Dubois County,IN,2,4.7,Low (<10.0),-50,0.5,-0.3,1.1,1.1
Elkhart County,IN,4,1.4,Low (<10.0),33.3,0.7,-0.7,0.6,-0.9
Fayette County,IN,1,1,Low (<10.0),0,0.8,0.2,0,-1.2
Floyd County,IN,3,1.9,Low (<10.0),-57.1,0.5,-0.7,0,0
Fountain County,IN,1,0.9,Low (<10.0),N/A,0,-0.2,0,-0.1
Franklin County,IN,49,2.8,Low (<10.0),-3.9,1.2,0,0.9,0
Fulton County,IN,8,2.3,Low (<10.0),60,0.5,-0.3,0.2,0
Gibson County,IN,10,3,Low (<10.0),-28.6,0.8,0.1,1.4,0.1
Grant County,IN,2,1.5,Low (<10.0),-33.3,0.7,0.1,4.5,4.5
Greene County,IN,5,2.3,Low (<10.0),25,1.7,0.9,0.3,0.2
Hamilton County,IN,10,2.1,Low (<10.0),42.9,0.6,-0.1,1,-1.1
Hancock County,IN,3,2.4,Low (<10.0),50,1,0.6,1.6,0.9
Harrison County,IN,3,1.9,Low (<10.0),-57.1,0.5,-0.7,0,0
Hendricks County,IN,47,3.2,Low (<10.0),74.1,0.7,-0.1,0.5,-0.1
Henry County,IN,3,2.4,Low (<10.0),50,1,0.6,1.6,0.9
Howard County,IN,7,5.2,Low (<10.0),250,0.8,0.5,1.8,0.1
Huntington County,IN,1,0.8,Low (<10.0),-66.7,0.6,-0.8,2.5,-2
Jackson County,IN,1,0.5,Low (<10.0),-87.5,0.4,-0.6,0,0
Jasper County,IN,31,4.4,Low (<10.0),34.8,0.8,0.1,0.1,-0.3
Jay County,IN,1,0.8,Low (<10.0),-66.7,0.6,-0.8,2.5,-2
Jefferson County,IN,8,5.5,Low (<10.0),-42.9,1.6,-0.7,0,0
Jennings County,IN,1,0.5,Low (<10.0),-87.5,0.4,-0.6,0,0
Johnson County,IN,47,3.2,Low (<10.0),74.1,0.7,-0.1,0.5,-0.1
Knox County,IN,1,0.8,Low (<10.0),N/A,0.2,-0.1,0,-0.1
Kosciusko County,IN,4,1.4,Low (<10.0),33.3,0.7,-0.7,0.6,-0.9
La Porte County,IN,7,5.3,Low (<10.0),250,1.3,-0.1,0.2,-0.5
LaGrange County,IN,15,2.6,Low (<10.0),-28.6,0.8,-0.2,0.9,0.4
Lake County,IN,31,4.4,Low (<10.0),34.8,0.8,0.1,0.1,-0.3
Lawrence County,IN,3,4.6,Low (<10.0),200,0.9,0.5,0.6,-1.4
Madison County,IN,10,2.1,Low (<10.0),42.9,0.6,-0.1,1,-1.1
Marion County,IN,47,3.2,Low (<10.0),74.1,0.7,-0.1,0.5,-0.1
Marshall County,IN,8,2.3,Low (<10.0),60,0.5,-0.3,0.2,0
Martin County,IN,1,0.8,Low (<10.0),N/A,0.2,-0.1,0,-0.1
Miami County,IN,2,1.5,Low (<10.0),-33.3,0.7,0.1,4.5,4.5
Monroe County,IN,5,2.3,Low (<10.0),25,1.7,0.9,0.3,0.2
Montgomery County,IN,0,0,Low (<10.0),N/A,0,0,0,0
Morgan County,IN,47,3.2,Low (<10.0),74.1,0.7,-0.1,0.5,-0.1
Newton County,IN,31,4.4,Low (<10.0),34.8,0.8,0.1,0.1,-0.3
Noble County,IN,15,2.6,Low (<10.0),-28.6,0.8,-0.2,0.9,0.4
Ohio County,IN,8,5.5,Low (<10.0),-42.9,1.6,-0.7,0,0
Orange County,IN,3,4.6,Low (<10.0),200,0.9,0.5,0.6,-1.4
Owen County,IN,5,2.3,Low (<10.0),25,1.7,0.9,0.3,0.2
Parke County,IN,3,1.5,Low (<10.0),-72.7,0.9,0,1.2,0.6
Perry County,IN,3,1.8,Low (<10.0),-50,1.5,0.1,2.8,2.8
Pike County,IN,1,0.8,Low (<10.0),N/A,0.2,-0.1,0,-0.1
Porter County,IN,31,4.4,Low (<10.0),34.8,0.8,0.1,0.1,-0.3
Posey County,IN,10,3,Low (<10.0),-28.6,0.8,0.1,1.4,0.1
Pulaski County,IN,8,2.3,Low (<10.0),60,0.5,-0.3,0.2,0
Putnam County,IN,47,3.2,Low (<10.0),74.1,0.7,-0.1,0.5,-0.1
Randolph County,IN,4,2.7,Low (<10.0),-71.4,1.9,0.4,3.6,-0.3
Ripley County,IN,8,5.5,Low (<10.0),-42.9,1.6,-0.7,0,0
Rush County,IN,47,3.2,Low (<10.0),74.1,0.7,-0.1,0.5,-0.1
Scott County,IN,1,0.7,Low (<10.0),-66.7,1.1,-0.9,2.4,-3.1
Shelby County,IN,47,3.2,Low (<10.0),74.1,0.7,-0.1,0.5,-0.1
Spencer County,IN,10,3,Low (<10.0),-28.6,0.8,0.1,1.4,0.1
St. Joseph County,IN,8,2.3,Low (<10.0),60,0.5,-0.3,0.2,0
Starke County,IN,7,5.3,Low (<10.0),250,1.3,-0.1,0.2,-0.5
Steuben County,IN,15,2.6,Low (<10.0),-28.6,0.8,-0.2,0.9,0.4
Sullivan County,IN,3,1.5,Low (<10.0),-72.7,0.9,0,1.2,0.6
Switzerland County,IN,8,5.5,Low (<10.0),-42.9,1.6,-0.7,0,0
Tippecanoe County,IN,1,0.4,Low (<10.0),0,0.5,-0.9,0.2,-1.5
Tipton County,IN,7,5.2,Low (<10.0),250,0.8,0.5,1.8,0.1
Union County,IN,1,1,Low (<10.0),0,0.8,0.2,0,-1.2
Vanderburgh County,IN,10,3,Low (<10.0),-28.6,0.8,0.1,1.4,0.1
Vermillion County,IN,3,1.5,Low (<10.0),-72.7,0.9,0,1.2,0.6
Vigo County,IN,3,1.5,Low (<10.0),-72.7,0.9,0,1.2,0.6
Wabash County,IN,2,1.5,Low (<10.0),-33.3,0.7,0.1,4.5,4.5
Warren County,IN,1,0.9,Low (<10.0),N/A,0,-0.2,0,-0.1
Warrick County,IN,10,3,Low (<10.0),-28.6,0.8,0.1,1.4,0.1
Washington County,IN,3,1.9,Low (<10.0),-57.1,0.5,-0.7,0,0
Wayne County,IN,1,1,Low (<10.0),0,0.8,0.2,0,-1.2
Wells County,IN,1,0.8,Low (<10.0),-66.7,0.6,-0.8,2.5,-2
White County,IN,1,0.4,Low (<10.0),0,0.5,-0.9,0.2,-1.5
Whitley County,IN,15,2.6,Low (<10.0),-28.6,0.8,-0.2,0.9,0.4
Allen County,KS,0,0,Low (<10.0),N/A,0,-0.3,0,-2.9
Anderson County,KS,23,2.9,Low (<10.0),0,0.8,0,0.8,-0.2
Atchison County,KS,0,0,Low (<10.0),N/A,0,0,0,0
Barber County,KS,0,0,Low (<10.0),-100,0.5,-0.2,N/A,N/A
Barton County,KS,1,2.6,Low (<10.0),-66.7,1.2,0.5,N/A,N/A
Bourbon County,KS,2,3.2,Low (<10.0),N/A,0.7,-0.1,1.3,-4.7
Brown County,KS,5,1.4,Low (<10.0),0,0.7,-0.4,1.4,-1.6
Butler County,KS,14,2,Low (<10.0),16.7,0.3,0,0.8,0.2
Chase County,KS,0,0,Low (<10.0),N/A,0,-0.6,0.3,-1.7
Chautauqua County,KS,1,1,Low (<10.0),N/A,0.3,-0.5,0,-1.1
Cherokee County,KS,6,2.6,Low (<10.0),-57.1,1.4,0.4,2.5,-0.1
Cheyenne County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Clark County,KS,1,2.1,Low (<10.0),N/A,0.3,-0.6,0,0
Clay County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Cloud County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Coffey County,KS,0,0,Low (<10.0),N/A,0,-0.6,0.3,-1.7
Comanche County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Cowley County,KS,14,2,Low (<10.0),16.7,0.3,0,0.8,0.2
Crawford County,KS,2,3.2,Low (<10.0),N/A,0.7,-0.1,1.3,-4.7
Decatur County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Dickinson County,KS,0,0,Low (<10.0),N/A,0,0,0,0
Doniphan County,KS,4,2.4,Low (<10.0),33.3,1,-0.8,0,-0.8
Douglas County,KS,23,2.9,Low (<10.0),0,0.8,0,0.8,-0.2
Edwards County,KS,1,2.6,Low (<10.0),-66.7,1.2,0.5,N/A,N/A
Elk County,KS,1,1,Low (<10.0),N/A,0.3,-0.5,0,-1.1
Ellis County,KS,3,6.8,Low (<10.0),N/A,0.2,0.2,0,0
Ellsworth County,KS,0,0,Low (<10.0),N/A,0,-0.6,N/A,N/A
Finney County,KS,2,3.8,Low (<10.0),100,0.5,-0.3,0,-2.6
Ford County,KS,1,2.1,Low (<10.0),N/A,0.3,-0.6,0,0
Franklin County,KS,23,2.9,Low (<10.0),0,0.8,0,0.8,-0.2
Geary County,KS,0,0,Low (<10.0),N/A,0,0,0,0
Gove County,KS,3,6.8,Low (<10.0),N/A,0.2,0.2,0,0
Graham County,KS,3,6.8,Low (<10.0),N/A,0.2,0.2,0,0
Grant County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Gray County,KS,1,2.1,Low (<10.0),N/A,0.3,-0.6,0,0
Greeley County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Greenwood County,KS,0,0,Low (<10.0),N/A,0,-0.6,0.3,-1.7
Hamilton County,KS,2,3.8,Low (<10.0),100,0.5,-0.3,0,-2.6
Harper County,KS,0,0,Low (<10.0),N/A,0.1,-0.7,N/A,N/A
Harvey County,KS,14,2,Low (<10.0),16.7,0.3,0,0.8,0.2
Haskell County,KS,2,3.8,Low (<10.0),100,0.5,-0.3,0,-2.6
Hodgeman County,KS,1,2.1,Low (<10.0),N/A,0.3,-0.6,0,0
Jackson County,KS,5,1.4,Low (<10.0),0,0.7,-0.4,1.4,-1.6
Jefferson County,KS,5,1.4,Low (<10.0),0,0.7,-0.4,1.4,-1.6
Jewell County,KS,0,0,Low (<10.0),N/A,0,0,0,0
Johnson County,KS,23,2.9,Low (<10.0),0,0.8,0,0.8,-0.2
Kearny County,KS,2,3.8,Low (<10.0),100,0.5,-0.3,0,-2.6
Kingman County,KS,0,0,Low (<10.0),N/A,0.1,-0.7,N/A,N/A
Kiowa County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Labette County,KS,0,0,Low (<10.0),N/A,0,-0.3,0,-2.9
Lane County,KS,2,3.8,Low (<10.0),100,0.5,-0.3,0,-2.6
Leavenworth County,KS,17,6.9,Low (<10.0),6.2,2.4,-0.1,2.7,-0.9
Lincoln County,KS,0,0,Low (<10.0),N/A,0,-0.6,N/A,N/A
Linn County,KS,2,3.2,Low (<10.0),N/A,0.7,-0.1,1.3,-4.7
Logan County,KS,3,6.8,Low (<10.0),N/A,0.2,0.2,0,0
Lyon County,KS,0,0,Low (<10.0),N/A,0,-0.6,0.3,-1.7
Marion County,KS,14,2,Low (<10.0),16.7,0.3,0,0.8,0.2
Marshall County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
McPherson County,KS,0,0,Low (<10.0),N/A,0,0,0,0
Meade County,KS,1,2.1,Low (<10.0),N/A,0.3,-0.6,0,0
Miami County,KS,23,2.9,Low (<10.0),0,0.8,0,0.8,-0.2
Mitchell County,KS,0,0,Low (<10.0),N/A,0,0,0,0
Montgomery County,KS,1,1,Low (<10.0),N/A,0.3,-0.5,0,-1.1
Morris County,KS,0,0,Low (<10.0),N/A,0,0,0,0
Morton County,KS,1,2.2,Low (<10.0),0,0.5,-0.3,1.4,-4
Nemaha County,KS,5,1.4,Low (<10.0),0,0.7,-0.4,1.4,-1.6
Neosho County,KS,0,0,Low (<10.0),N/A,0,-0.3,0,-2.9
Ness County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Norton County,KS,1,7.1,Low (<10.0),N/A,0.4,0.4,N/A,N/A
Osage County,KS,5,1.4,Low (<10.0),0,0.7,-0.4,1.4,-1.6
Osborne County,KS,0,0,Low (<10.0),N/A,0,0,0,0
Ottawa County,KS,0,0,Low (<10.0),N/A,0,-0.6,N/A,N/A
Pawnee County,KS,1,2.6,Low (<10.0),-66.7,1.2,0.5,N/A,N/A
Phillips County,KS,1,7.1,Low (<10.0),N/A,0.4,0.4,N/A,N/A
Pottawatomie County,KS,5,1.4,Low (<10.0),0,0.7,-0.4,1.4,-1.6
Pratt County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Rawlins County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Reno County,KS,4,5.3,Low (<10.0),300,0.6,-0.2,0,-0.4
Republic County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Rice County,KS,4,5.3,Low (<10.0),300,0.6,-0.2,0,-0.4
Riley County,KS,5,1.4,Low (<10.0),0,0.7,-0.4,1.4,-1.6
Rooks County,KS,3,6.8,Low (<10.0),N/A,0.2,0.2,0,0
Rush County,KS,1,2.6,Low (<10.0),-66.7,1.2,0.5,N/A,N/A
Russell County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Saline County,KS,0,0,Low (<10.0),N/A,0,-0.6,N/A,N/A
Scott County,KS,2,3.8,Low (<10.0),100,0.5,-0.3,0,-2.6
Sedgwick County,KS,14,2,Low (<10.0),16.7,0.3,0,0.8,0.2
Seward County,KS,1,2.2,Low (<10.0),0,0.5,-0.3,1.4,-4
Shawnee County,KS,5,1.4,Low (<10.0),0,0.7,-0.4,1.4,-1.6
Sheridan County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Sherman County,KS,0,0,Low (<10.0),-100,1.1,-0.2,N/A,N/A
Smith County,KS,1,7.1,Low (<10.0),N/A,0.4,0.4,N/A,N/A
Stafford County,KS,4,5.3,Low (<10.0),300,0.6,-0.2,0,-0.4
Stanton County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Stevens County,KS,0,0,Low (<10.0),-100,0.5,0.4,N/A,N/A
Sumner County,KS,14,2,Low (<10.0),16.7,0.3,0,0.8,0.2
Thomas County,KS,0,0,Low (<10.0),-100,1.1,-0.2,N/A,N/A
Trego County,KS,3,6.8,Low (<10.0),N/A,0.2,0.2,0,0
Wabaunsee County,KS,5,1.4,Low (<10.0),0,0.7,-0.4,1.4,-1.6
Wallace County,KS,0,0,Low (<10.0),-100,1.1,-0.2,N/A,N/A
Washington County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Wichita County,KS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Wilson County,KS,0,0,Low (<10.0),N/A,0,-0.7,N/A,N/A
Woodson County,KS,0,0,Low (<10.0),N/A,0,-0.3,0,-2.9
Wyandotte County,KS,17,6.9,Low (<10.0),6.2,2.4,-0.1,2.7,-0.9
Adair County,KY,2,2.7,Low (<10.0),N/A,0.5,-1.2,0,0
Allen County,KY,2,0.9,Low (<10.0),-71.4,1.1,-0.6,1.4,0.1
Anderson County,KY,2,2.4,Low (<10.0),-50,1.6,-2.2,1.2,-5.7
Ballard County,KY,12,5.9,Low (<10.0),200,1.7,0,2.9,0.8
Barren County,KY,2,2.4,Low (<10.0),-60,0.8,-0.1,0,0
Bath County,KY,0,0,Low (<10.0),-100,0.1,-0.1,0,0
Bell County,KY,2,2.4,Low (<10.0),-33.3,2,-0.1,3.8,3.3
Boone County,KY,9,2,Low (<10.0),50,1,-0.5,3.8,-1.4
Bourbon County,KY,1,3.7,Low (<10.0),N/A,0.1,0.1,0,0
Boyd County,KY,11,3.2,Low (<10.0),22.2,0.6,-0.1,0.7,-0.2
Boyle County,KY,1,0.9,Low (<10.0),N/A,0.2,0.1,0,0
Bracken County,KY,1,2.5,Low (<10.0),-50,1.1,0.1,3.1,1.4
Breathitt County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Breckinridge County,KY,2,1,Low (<10.0),-60,0.4,0.1,0.2,0.2
Bullitt County,KY,39,3.6,Low (<10.0),56,1,0.1,0.9,-0.4
Butler County,KY,2,0.9,Low (<10.0),-71.4,1.1,-0.6,1.4,0.1
Caldwell County,KY,7,3.5,Low (<10.0),75,1.1,0.1,2.3,1.4
Calloway County,KY,1,0.9,Low (<10.0),0,0.1,-0.2,0,-0.1
Campbell County,KY,9,2,Low (<10.0),50,1,-0.5,3.8,-1.4
Carlisle County,KY,12,5.9,Low (<10.0),200,1.7,0,2.9,0.8
Carroll County,KY,8,5.5,Low (<10.0),-42.9,1.6,-0.7,0,0
Carter County,KY,11,3.2,Low (<10.0),22.2,0.6,-0.1,0.7,-0.2
Casey County,KY,1,0.9,Low (<10.0),N/A,0.2,0.1,0,0
Christian County,KY,7,3.5,Low (<10.0),75,1.1,0.1,2.3,1.4
Clark County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Clay County,KY,2,1.4,Low (<10.0),-33.3,0.2,-0.2,0,0
Clinton County,KY,0,0,Low (<10.0),N/A,0.3,0.3,N/A,N/A
Crittenden County,KY,12,5.9,Low (<10.0),200,1.7,0,2.9,0.8
Cumberland County,KY,0,0,Low (<10.0),N/A,0.3,0.3,N/A,N/A
Daviess County,KY,3,1.8,Low (<10.0),-50,1.5,0.1,2.8,2.8
Edmonson County,KY,2,0.9,Low (<10.0),-71.4,1.1,-0.6,1.4,0.1
Elliott County,KY,6,11.6,Medium (10.0 to 19.9),500,0.7,0.6,1.1,0.7
Estill County,KY,5,3.6,Low (<10.0),150,1.5,-0.1,0.6,-0.8
Fayette County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Fleming County,KY,1,2.5,Low (<10.0),-50,1.1,0.1,3.1,1.4
Floyd County,KY,0,0,Low (<10.0),-100,0.4,-0.2,0.1,-3.5
Franklin County,KY,2,2.4,Low (<10.0),-50,1.6,-2.2,1.2,-5.7
Fulton County,KY,1,1.4,Low (<10.0),N/A,0.3,-0.1,0,0
Gallatin County,KY,9,2,Low (<10.0),50,1,-0.5,3.8,-1.4
Garrard County,KY,1,0.9,Low (<10.0),N/A,0.2,0.1,0,0
Grant County,KY,9,2,Low (<10.0),50,1,-0.5,3.8,-1.4
Graves County,KY,12,5.9,Low (<10.0),200,1.7,0,2.9,0.8
Grayson County,KY,2,1,Low (<10.0),-60,0.4,0.1,0.2,0.2
Green County,KY,2,2.7,Low (<10.0),N/A,0.5,-1.2,0,0
Greenup County,KY,11,3.2,Low (<10.0),22.2,0.6,-0.1,0.7,-0.2
Hancock County,KY,3,1.8,Low (<10.0),-50,1.5,0.1,2.8,2.8
Hardin County,KY,2,1,Low (<10.0),-60,0.4,0.1,0.2,0.2
Harlan County,KY,2,2.4,Low (<10.0),-33.3,2,-0.1,3.8,3.3
Harrison County,KY,0,0,Low (<10.0),N/A,0,0,0,0
Hart County,KY,2,2.4,Low (<10.0),-60,0.8,-0.1,0,0
Henderson County,KY,1,1.7,Low (<10.0),N/A,0.1,-0.3,0,0
Henry County,KY,39,3.6,Low (<10.0),56,1,0.1,0.9,-0.4
Hickman County,KY,12,5.9,Low (<10.0),200,1.7,0,2.9,0.8
Hopkins County,KY,7,3.5,Low (<10.0),75,1.1,0.1,2.3,1.4
Jackson County,KY,5,3.6,Low (<10.0),150,1.5,-0.1,0.6,-0.8
Jefferson County,KY,39,3.6,Low (<10.0),56,1,0.1,0.9,-0.4
Jessamine County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Johnson County,KY,0,0,Low (<10.0),-100,0.4,-0.2,0.1,-3.5
Kenton County,KY,9,2,Low (<10.0),50,1,-0.5,3.8,-1.4
Knott County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Knox County,KY,2,1.4,Low (<10.0),-33.3,0.2,-0.2,0,0
Larue County,KY,2,1,Low (<10.0),-60,0.4,0.1,0.2,0.2
Laurel County,KY,2,1.4,Low (<10.0),-33.3,0.2,-0.2,0,0
Lawrence County,KY,11,3.2,Low (<10.0),22.2,0.6,-0.1,0.7,-0.2
Lee County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Leslie County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Letcher County,KY,6,27.8,High (≥20.0),N/A,2.6,0.4,2.4,2.4
Lewis County,KY,5,2.6,Low (<10.0),N/A,0.2,-1,0,-1.4
Lincoln County,KY,1,0.9,Low (<10.0),N/A,0.2,0.1,0,0
Livingston County,KY,12,5.9,Low (<10.0),200,1.7,0,2.9,0.8
Logan County,KY,2,0.9,Low (<10.0),-71.4,1.1,-0.6,1.4,0.1
Lyon County,KY,12,5.9,Low (<10.0),200,1.7,0,2.9,0.8
Madison County,KY,5,3.6,Low (<10.0),150,1.5,-0.1,0.6,-0.8
Magoffin County,KY,0,0,Low (<10.0),-100,0.4,-0.2,0.1,-3.5
Marion County,KY,39,3.6,Low (<10.0),56,1,0.1,0.9,-0.4
Marshall County,KY,12,5.9,Low (<10.0),200,1.7,0,2.9,0.8
Martin County,KY,11,3.2,Low (<10.0),22.2,0.6,-0.1,0.7,-0.2
Mason County,KY,1,2.5,Low (<10.0),-50,1.1,0.1,3.1,1.4
McCracken County,KY,12,5.9,Low (<10.0),200,1.7,0,2.9,0.8
McCreary County,KY,3,2.9,Low (<10.0),0,0.3,-0.4,0.9,0.4
McLean County,KY,3,1.8,Low (<10.0),-50,1.5,0.1,2.8,2.8
Meade County,KY,2,1,Low (<10.0),-60,0.4,0.1,0.2,0.2
Menifee County,KY,6,11.6,Medium (10.0 to 19.9),500,0.7,0.6,1.1,0.7
Mercer County,KY,1,0.9,Low (<10.0),N/A,0.2,0.1,0,0
Metcalfe County,KY,2,2.4,Low (<10.0),-60,0.8,-0.1,0,0
Monroe County,KY,2,2.4,Low (<10.0),-60,0.8,-0.1,0,0
Montgomery County,KY,0,0,Low (<10.0),-100,0.1,-0.1,0,0
Morgan County,KY,6,11.6,Medium (10.0 to 19.9),500,0.7,0.6,1.1,0.7
Muhlenberg County,KY,7,3.5,Low (<10.0),75,1.1,0.1,2.3,1.4
Nelson County,KY,39,3.6,Low (<10.0),56,1,0.1,0.9,-0.4
Nicholas County,KY,1,3.7,Low (<10.0),N/A,0.1,0.1,0,0
Ohio County,KY,3,1.8,Low (<10.0),-50,1.5,0.1,2.8,2.8
Oldham County,KY,39,3.6,Low (<10.0),56,1,0.1,0.9,-0.4
Owen County,KY,2,2.4,Low (<10.0),-50,1.6,-2.2,1.2,-5.7
Owsley County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Pendleton County,KY,9,2,Low (<10.0),50,1,-0.5,3.8,-1.4
Perry County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Pike County,KY,8,7.1,Low (<10.0),166.7,1.4,0.5,2.5,1.2
Powell County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Pulaski County,KY,3,2.9,Low (<10.0),0,0.3,-0.4,0.9,0.4
Robertson County,KY,0,0,Low (<10.0),N/A,0,0,0,0
Rockcastle County,KY,5,3.6,Low (<10.0),150,1.5,-0.1,0.6,-0.8
Rowan County,KY,6,11.6,Medium (10.0 to 19.9),500,0.7,0.6,1.1,0.7
Russell County,KY,2,2.7,Low (<10.0),N/A,0.5,-1.2,0,0
Scott County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Shelby County,KY,39,3.6,Low (<10.0),56,1,0.1,0.9,-0.4
Simpson County,KY,2,0.9,Low (<10.0),-71.4,1.1,-0.6,1.4,0.1
Spencer County,KY,39,3.6,Low (<10.0),56,1,0.1,0.9,-0.4
Taylor County,KY,2,2.7,Low (<10.0),N/A,0.5,-1.2,0,0
Todd County,KY,7,3.5,Low (<10.0),75,1.1,0.1,2.3,1.4
Trigg County,KY,7,3.5,Low (<10.0),75,1.1,0.1,2.3,1.4
Trimble County,KY,8,5.5,Low (<10.0),-42.9,1.6,-0.7,0,0
Union County,KY,1,1.7,Low (<10.0),N/A,0.1,-0.3,0,0
Warren County,KY,2,0.9,Low (<10.0),-71.4,1.1,-0.6,1.4,0.1
Washington County,KY,39,3.6,Low (<10.0),56,1,0.1,0.9,-0.4
Wayne County,KY,3,2.9,Low (<10.0),0,0.3,-0.4,0.9,0.4
Webster County,KY,7,3.5,Low (<10.0),75,1.1,0.1,2.3,1.4
Whitley County,KY,2,1.4,Low (<10.0),-33.3,0.2,-0.2,0,0
Wolfe County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Woodford County,KY,11,1.9,Low (<10.0),-52.2,1.6,0.1,1.5,-0.5
Acadia Parish,LA,12,2.5,Low (<10.0),-7.7,0.9,0.3,0.8,-0.2
Allen Parish,LA,10,4.1,Low (<10.0),233.3,0.7,0,0.8,0.7
Ascension Parish,LA,7,0.9,Low (<10.0),-58.8,0.5,0,0.6,0.1
Assumption Parish,LA,1,0.4,Low (<10.0),-50,0.3,-0.4,1.5,-0.3
Avoyelles Parish,LA,10,4.1,Low (<10.0),233.3,0.7,0,0.8,0.7
